"","ID1","ID2","MHCAll_perc_similar","MHCI_perc_similar","MHCII_perc_similar","KINSHIP","MHCall_common","MHCall_unique","MHCI_common","MHCI_unique","MHCII_common","MHCII_unique","Supertypeall_common","Supertypesall_unique","SupertypeAB_common","SupertypesAB_unique","SupertypeII_common","SupertypesII_unique"
"113","18","5",0.1515,0.1364,0.1818,-0.0776493,5,33,3,22,2,11,8,17,5,11,3,6
"114","18","6",0.0882,0.1429,0,-0.0746966,3,34,3,21,0,13,8,18,7,11,1,7
"115","18","7",0.1613,0.0909,0.3333,-0.0750522,5,31,2,22,3,9,10,16,7,10,3,6
"116","18","8",0.44,0.4667,0.4,-0.0147049,11,25,7,15,4,10,10,13,7,8,3,5
"117","18","9",0.0606,0.0909,0,-0.162784,2,33,2,22,0,11,7,18,6,12,1,6
"118","19","1",0.0556,0.0455,0.0714,-0.0979516,2,36,1,22,1,14,9,19,5,12,4,7
"119","19","10",0.1562,0.2778,0,-0.183528,5,32,5,18,0,14,7,18,4,10,3,8
"120","19","11",0.2,0.2222,0.1667,-0.0812948,6,30,4,18,2,12,10,18,5,11,5,7
"121","19","12",0.0571,0.1053,0,-0.104592,2,35,2,19,0,16,5,20,3,12,2,8
"122","19","13",0.069,0.1,0,-0.146621,2,29,2,20,0,9,6,18,5,12,1,6
"123","19","14",0.0556,0.0909,0,-0.0757973,2,36,2,22,0,14,7,17,3,12,4,5
"124","19","15",0.0882,0.0909,0.0833,-0.0560247,3,34,2,22,1,12,10,19,6,12,4,7
"125","19","16",0.0571,0.0952,0,-0.0638112,2,35,2,21,0,14,6,19,3,12,3,7
"126","19","17",0.1471,0.2632,0,-0.141924,5,34,5,19,0,15,7,19,4,10,3,9
"127","19","18",0.0541,0.087,0,-0.152585,2,37,2,23,0,14,9,18,6,11,3,7
"128","19","2",0.1613,0.2353,0.0714,-0.176692,5,31,4,17,1,14,8,17,4,11,4,6
"129","19","3",0.0882,0.0909,0.0833,-0.138711,3,34,2,22,1,12,10,19,6,12,4,7
"130","19","4",0.125,0.1579,0.0769,-0.0833937,4,32,3,19,1,13,8,19,6,11,2,8
"131","19","5",0.0541,0.0833,0,-0.061943,2,37,2,24,0,13,6,20,5,12,1,8
"132","19","6",0.0857,0.1364,0,-0.0735808,3,35,3,22,0,13,9,18,7,12,2,6
"133","19","7",0.1212,0.1905,0,-0.166105,4,33,4,21,0,12,9,18,6,12,3,6
"134","19","8",0.0882,0.15,0,-0.137644,3,34,3,20,0,14,7,17,6,10,1,7
"135","19","9",0.1613,0.25,0,-0.148083,5,31,5,20,0,11,9,17,7,12,2,5
"136","2","1",0.3077,0.2857,0.3333,0.0819531,8,26,4,14,4,12,10,15,5,9,5,6
"137","20","1",0.3846,0.4286,0.3333,-0.0313721,10,26,6,14,4,12,11,14,6,8,5,6
"138","20","10",0.0606,0.1111,0,-0.129853,2,33,2,18,0,15,7,15,4,7,3,8
"139","20","11",0.4167,0.4615,0.3636,-0.0176527,10,24,6,13,4,11,9,16,4,9,5,7
"140","20","12",0.2963,0.2857,0.3077,-0.0415926,8,27,4,14,4,13,8,14,5,7,3,7
"141","20","13",0.16,0.2667,0,-0.0959079,4,25,4,15,0,10,6,15,5,9,1,6
"142","20","14",0.3846,0.4,0.3636,0.226621,10,26,6,15,4,11,9,12,6,6,3,6
"143","20","15",0.4,0.4,0.4,0.237535,10,25,6,15,4,10,11,15,6,9,5,6
"144","20","16",0.2069,0.4286,0,-0.011399,6,29,6,14,0,15,9,13,5,7,4,6
"145","20","17",0.0571,0.1053,0,-0.105876,2,35,2,19,0,16,7,16,4,7,3,9
